first_currency;second_currency;UNIX timestamp;open;high;low;close;volume
BTC;USDT;1,51027E+12;7303.01;7392;7015;7079.99;1913.4
BTC;USDT;1,51036E+12;7079;7279.91;6255.01;6506.98;3254.7
BTC;USDT;1,51044E+12;6503;6797.98;6100;6245.05;2754.16
BTC;USDT;1,51053E+12;6245.05;6630;5325.01;5811.03;4968.48
BTC;USDT;1,51062E+12;5839.94;6697.47;5699.99;6465.99;2621.24
BTC;USDT;1,5107E+12;6465.99;6684.98;6311.07;6574.99;1254.29
BTC;USDT;1,51079E+12;6575.99;7298;6575.99;7240.06;1779.61
BTC;USDT;1,51088E+12;7240.14;7940;7076;7864.5;2331.96
BTC;USDT;1,51096E+12;7876.98;7989;7451;7699.19;3982.4
BTC;USDT;1,51105E+12;7680.01;7819.99;7422;7761.94;3954.27
BTC;USDT;1,51114E+12;7761.94;8123.15;7650.33;8038;3867.34
BTC;USDT;1,51122E+12;8057.11;8319.99;7954;8212;3886.63
BTC;USDT;1,51131E+12;8212.49;8400;7801;8119.51;4544.47
BTC;USDT;1,5114E+12;8091.09;8322.68;8091.09;8205.92;3545.01
BTC;USDT;1,51148E+12;8233.03;8260;8000;8019.99;4093.95
BTC;USDT;1,51157E+12;8019.97;8369;7850;8138;4411.79
BTC;USDT;1,51165E+12;8138.99;8734.78;8090;8700.01;4292.62
BTC;USDT;1,51174E+12;8700.04;9350;8604.72;9128.02;4147.38
BTC;USDT;1,51183E+12;9128;9654.28;9112.04;9650;4521.63
BTC;USDT;1,51191E+12;9650;9939;9570.5;9896.8;4917.21
BTC;USDT;1,512E+12;9896.79;11300;8520;9687.88;13352.5
BTC;USDT;1,51209E+12;9687.88;10900;8850.8;9838.96;9389.57
BTC;USDT;1,51217E+12;9837;10898;9380;10783;6134.92
BTC;USDT;1,51226E+12;10775;11190;10620;10890;4765.44
BTC;USDT;1,51235E+12;10902.7;11825;10500;11165.4;5346.64
BTC;USDT;1,51243E+12;11165.4;11600;10802;11579;4663.42
BTC;USDT;1,51252E+12;11571;11853;11447.7;11700;5550.73
BTC;USDT;1,5126E+12;11700;13615.2;11665.6;13550;6707.95
BTC;USDT;1,51269E+12;13541;16650;13050;16599;7487.07
BTC;USDT;1,51278E+12;16599;17205;14015;15880;17589
BTC;USDT;1,51286E+12;15880;16269.3;12535;14656.1;13918.8
BTC;USDT;1,51295E+12;14664;15720.1;12368;14900;16553
BTC;USDT;1,51304E+12;14946.3;17470;14901.1;16588;11820.4
BTC;USDT;1,51312E+12;16588;16976.4;15875;16350;9436.8
BTC;USDT;1,51321E+12;16350;16546;14666.6;16033.3;12416.3
BTC;USDT;1,5133E+12;16030.3;16445;15450;16335;11616.9
BTC;USDT;1,51338E+12;16335;17991;16298.5;17539.8;9181.27
BTC;USDT;1,51347E+12;17516.8;19539;17190;19102.7;4202.63
BTC;USDT;1,51356E+12;19120.2;19798.7;18510;18860;9177.18
BTC;USDT;1,51364E+12;18860;19300;17030;18856.2;10624.6
BTC;USDT;1,51373E+12;18856.2;18950;16300;17295.2;13210.7
BTC;USDT;1,51381E+12;17295.2;17720.3;14777.7;16489;13450.5
BTC;USDT;1,5139E+12;16480.5;17309.5;14022;15492.6;20324.2
BTC;USDT;1,51399E+12;15514;15699.3;10961;13326.6;36076.3
BTC;USDT;1,51407E+12;13326.6;14950;12978.2;13300;13141.5
BTC;USDT;1,51416E+12;13300;13820;11640;13500;28557.5
BTC;USDT;1,51425E+12;13500;14300;12708;13699.3;15748.2
BTC;USDT;1,51433E+12;13699.3;16050;13533;15689;15034.7
BTC;USDT;1,51442E+12;15710;16498.1;14200.2;15460;14959.9
BTC;USDT;1,51451E+12;15460;15540;13150;14182.1;21717.9
BTC;USDT;1,51459E+12;14199.1;14981;13850;14378.9;18072
BTC;USDT;1,51468E+12;14379;14398.8;11750;12440;19221.2
BTC;USDT;1,51476E+12;12345.1;14050.1;12150;13716.4;11769
BTC;USDT;1,51485E+12;13715.7;13818.5;12750;13380;8609.92
BTC;USDT;1,51494E+12;13382.2;15473.5;12890;14675.1;20078.1
BTC;USDT;1,51502E+12;14690;15307.6;14150;14919.5;15905.7
BTC;USDT;1,51511E+12;14919.5;15280;13918;15059.5;21329.7
BTC;USDT;1,5152E+12;15059.6;17176.2;14600;16960.4;23251.5
BTC;USDT;1,51528E+12;16960.4;17143.1;16011.2;17069.8;18571.5
BTC;USDT;1,51537E+12;17069.8;17100;15610;16150;12493.1
BTC;USDT;1,51546E+12;16218.8;16322.3;12812;14902.5;26600.6
BTC;USDT;1,51554E+12;14902.5;15500;14011;14400;14315
BTC;USDT;1,51563E+12;14401;14955.7;13131.3;14907.1;17411
BTC;USDT;1,51572E+12;14940;14968.7;11400;13238.8;33554.7
BTC;USDT;1,5158E+12;13238.8;14109.8;12500;13740;16417.2
BTC;USDT;1,51589E+12;13750;14580;13706.2;14210;12221.5
BTC;USDT;1,51597E+12;14210;14339.5;12569.2;13475;17017.9
BTC;USDT;1,51606E+12;13478;14250;13147.8;13539.9;14652.1
BTC;USDT;1,51615E+12;13500;13542.9;9035;10900;63401.2
BTC;USDT;1,51623E+12;10900;11681;9037.94;10988.8;72331.8
BTC;USDT;1,51632E+12;10972.6;11878.8;10435.3;10962;48464.4
BTC;USDT;1,51641E+12;10960;11795;10360;11475;34129.4
BTC;USDT;1,51649E+12;11475;13099;11412.5;12799.9;28768.9
BTC;USDT;1,51658E+12;12799.8;12799.8;10965;11530;41379.8
BTC;USDT;1,51667E+12;11530;11926.3;9900.24;10760;43752.6
BTC;USDT;1,51675E+12;10760;11399;9905;10799.2;37473.9
BTC;USDT;1,51684E+12;10799.1;11570.5;10500;11350;27158.6
BTC;USDT;1,51692E+12;11350;11794;10950.2;11175.3;20840
BTC;USDT;1,51701E+12;11184.7;11643;10311.2;11089;33056.9
BTC;USDT;1,5171E+12;11089;11650;10842.7;11491;18860.8
BTC;USDT;1,51718E+12;11500;12244;11408;11880;16887.3
BTC;USDT;1,51727E+12;11880;11975;11139.5;11251;14170.4
BTC;USDT;1,51736E+12;11250.1;11308.4;9900;10237.5;25554.4
BTC;USDT;1,51744E+12;10230;10425.8;9700;10285.1;18016
BTC;USDT;1,51753E+12;10285.1;10335;8750.99;9224.52;33564.8
BTC;USDT;1,51762E+12;9224.52;9250;8010.02;8873.03;49971.6
BTC;USDT;1,5177E+12;8873.03;9473.01;8229;9199.96;28725
BTC;USDT;1,51779E+12;9199.96;9368;7930;8184.81;32014.3
BTC;USDT;1,51788E+12;8179.99;8382.8;6625;6939.99;63403.2
BTC;USDT;1,51796E+12;6939.63;7878;6000.01;7652.14;100202
BTC;USDT;1,51805E+12;7655.02;8476;7150.01;7599;60778.5
BTC;USDT;1,51813E+12;7599;7844;7572.09;7784.02;1521.54
BTC;USDT;1,51822E+12;7789.9;8738;7789.9;8683.92;20482.9
BTC;USDT;1,51831E+12;8683.93;9065.78;8120;8533.98;49381.5
BTC;USDT;1,51839E+12;8533.99;8549;7726.53;8063.88;45025.2
BTC;USDT;1,51848E+12;8063.82;8989;8053;8903;41987.9
BTC;USDT;1,51857E+12;8903;8950;8351;8539.9;35455
BTC;USDT;1,51865E+12;8535.17;9489.6;8533;9449.99;40812
BTC;USDT;1,51874E+12;9449.98;10219.5;9301.5;10000.1;52427.6
BTC;USDT;1,51883E+12;10000.9;10323.4;9666;10160;38161.2
BTC;USDT;1,51891E+12;10156.1;11075.1;10050;11039.5;41882.1
BTC;USDT;1,519E+12;11039.5;11274;10080;10383.4;61137.4
BTC;USDT;1,51908E+12;10375;11250;10270.3;11153;40831.4
BTC;USDT;1,51917E+12;11147.1;11786;11100.6;11201;48153.4
BTC;USDT;1,51926E+12;11195.1;11304;10200;10437.6;68113.8
BTC;USDT;1,51934E+12;10439;10933.4;9679;9811.04;67060.2
BTC;USDT;1,51943E+12;9815.55;10435;9570.19;10131;57202.7
BTC;USDT;1,51952E+12;10131;10497;9352;9694.51;40888.2
BTC;USDT;1,5196E+12;9694.51;9847;9274.8;9590;28373.5
BTC;USDT;1,51969E+12;9590;10444.3;9350;10324;34878.3
BTC;USDT;1,51978E+12;10321;10870;10121;10569;30705.4
BTC;USDT;1,51986E+12;10584.3;11098;10300;10326.8;30801
BTC;USDT;1,51995E+12;10325.6;11060.4;10240;10920;25092.6
BTC;USDT;1,52004E+12;10923.4;11200;10770;11039;23910.7
BTC;USDT;1,52012E+12;11039;11544;11015;11464.5;21287.2
BTC;USDT;1,52021E+12;11464.5;11565;11050;11515;17295.9
BTC;USDT;1,52029E+12;11515;11710;11415;11454;15144.2
BTC;USDT;1,52038E+12;11455;11455;10555.5;10716.5;29515.6
BTC;USDT;1,52047E+12;10716.5;10899;9389.31;9910;50647.7
BTC;USDT;1,52055E+12;9910;10099;9060;9271.64;41109.5
BTC;USDT;1,52064E+12;9267.07;9410;8329;9227;64112.3
BTC;USDT;1,52073E+12;9230;9490;8667.07;8770.22;37180
BTC;USDT;1,52081E+12;8770.22;9740;8450;9533.57;44326
BTC;USDT;1,5209E+12;9533.57;9888.88;8780;9131.34;42230.8
BTC;USDT;1,52099E+12;9131.34;9474;8823;9150;40191.4
BTC;USDT;1,52107E+12;9151.92;9333.78;7900.28;8170;49708.1
BTC;USDT;1,52116E+12;8184.01;8430;7650;8240.98;52291
BTC;USDT;1,52124E+12;8240.98;8611.64;7900;8260;38815.4
BTC;USDT;1,52133E+12;8260;8348.62;7721.99;7824.8;33110.2
BTC;USDT;1,52142E+12;7824.01;8317.4;7322;8189.99;59488.2
BTC;USDT;1,5215E+12;8189;8705.23;8088.4;8600;55297.1
BTC;USDT;1,52159E+12;8595.01;9050;8280;8909.98;44865.1
BTC;USDT;1,52168E+12;8909.96;9177.01;8750.6;8885;39972.4
BTC;USDT;1,52176E+12;8884.82;9100;8465.1;8722.9;40617.6
BTC;USDT;1,52185E+12;8720;8909;8269;8898.03;39991
BTC;USDT;1,52194E+12;8898.04;8999.95;8491;8546.86;35466.6
BTC;USDT;1,52202E+12;8531.25;8669.85;8365.77;8470.15;29001.8
BTC;USDT;1,52211E+12;8470.14;8514.89;7831;8134.23;44033.6
BTC;USDT;1,5222E+12;8134.22;8215.94;7730;7795.51;37427.6
BTC;USDT;1,52228E+12;7795.51;8109;7728;7949.3;26401.3
BTC;USDT;1,52237E+12;7949.3;7975;6941.11;7090.14;54620.9
BTC;USDT;1,52245E+12;7090.16;7292.43;6600.1;6840.23;65306
BTC;USDT;1,52254E+12;6840.24;7223.36;6777;6923.91;36868.5
BTC;USDT;1,52263E+12;6922;7049.98;6430;6813.01;44071.4
BTC;USDT;1,52271E+12;6813.01;7125;6765;7056;32123.6
BTC;USDT;1,5228E+12;7063.97;7520;7011.01;7405.21;37787.3
BTC;USDT;1,52289E+12;7405.21;7427.52;6707;6796.1;42227.2
BTC;USDT;1,52297E+12;6796.1;6902;6566.69;6770.76;39029.7
BTC;USDT;1,52306E+12;6770;6850;6500;6601.39;27455
BTC;USDT;1,52315E+12;6601.39;7070;6586.28;6895.8;32269.6
BTC;USDT;1,52323E+12;6895.81;7109.13;6880;7018;21427.7
BTC;USDT;1,52332E+12;7011.04;7185;6611;6782.72;34078.3
BTC;USDT;1,5234E+12;6781.55;6890;6656;6843.9;22326.7
BTC;USDT;1,52349E+12;6839.56;6990;6787;6953.79;23997.9
BTC;USDT;1,52358E+12;6953.78;8012.23;6743.2;7923;64861.6
BTC;USDT;1,52366E+12;7922.99;8233.39;7732;7877.41;55044.5
BTC;USDT;1,52375E+12;7877.48;8186;7810;7999.01;31621.3
BTC;USDT;1,52384E+12;8004;8429.54;7999.02;8355;27946.7
BTC;USDT;1,52392E+12;8355.07;8419;7867;8064.92;36664.1
BTC;USDT;1,52401E+12;8064.92;8173.7;7825.4;7885.02;32152.6
BTC;USDT;1,5241E+12;7890.96;8236.43;7868;8173;26969
BTC;USDT;1,52418E+12;8173.99;8296;8080;8278;27113.8
BTC;USDT;1,52427E+12;8273.84;8930;8177.09;8856.98;39795.3
BTC;USDT;1,52436E+12;8852.12;9035;8565;8915.31;40872.2
BTC;USDT;1,52444E+12;8915.31;9020.67;8727.68;8787.02;29458.3
BTC;USDT;1,52453E+12;8785.7;8985;8745;8934.01;25838.1
BTC;USDT;1,52461E+12;8934;9731.01;8922;9619.99;46268.8
BTC;USDT;1,5247E+12;9618.96;9759.82;8730;8869.99;81110
BTC;USDT;1,52479E+12;8869.99;9307.48;8651.62;9266;43300.3
BTC;USDT;1,52487E+12;9267.03;9395;8889;8915.35;37241.3
BTC;USDT;1,52496E+12;8915.35;9427.48;8870;9348;34759.6
BTC;USDT;1,52505E+12;9348;9570.51;9163.74;9419;38149.9
BTC;USDT;1,52513E+12;9417.04;9458.64;9124.99;9246.01;35002
BTC;USDT;1,52522E+12;9246.01;9248.99;8800.49;9071.48;41018.5
BTC;USDT;1,52531E+12;9071.48;9268;8970.2;9247.84;26123.5
BTC;USDT;1,52539E+12;9247.81;9844;9168.4;9750;38768.4
BTC;USDT;1,52548E+12;9750;9830.04;9520.85;9713.99;28681.6
BTC;USDT;1,52556E+12;9714;10020;9682;9864;24990
BTC;USDT;1,52565E+12;9863.99;9970;9417.03;9659.01;27690.4
BTC;USDT;1,52574E+12;9661.02;9689.67;9181;9365;33787.6
BTC;USDT;1,52582E+12;9365;9475.7;9060.54;9187.56;25533.8
BTC;USDT;1,52591E+12;9178;9390;8965;9310;25673.5
BTC;USDT;1,526E+12;9310;9395.12;8970;9002.2;25055.1
BTC;USDT;1,52608E+12;9002.21;9016.8;8341;8400;48227
BTC;USDT;1,52617E+12;8405.94;8646.88;8153;8465.94;40241.3
BTC;USDT;1,52626E+12;8475.44;8763.36;8298;8679.71;25632.9
BTC;USDT;1,52634E+12;8679.71;8879.99;8277;8663.34;37389.7
BTC;USDT;1,52643E+12;8663.37;8859.99;8401.3;8462;28127
BTC;USDT;1,52652E+12;8462;8488;8083.01;8330;31130.7
BTC;USDT;1,5266E+12;8330;8464;7979;8041.46;25439.8
BTC;USDT;1,52669E+12;8038.82;8273.21;7911.9;8239.81;23476.2
BTC;USDT;1,52677E+12;8238.01;8390.8;8095.73;8233.49;17193.4
BTC;USDT;1,52686E+12;8233.49;8609;8163.9;8526.98;19957.1
BTC;USDT;1,52695E+12;8526.97;8595.31;8305;8381.24;21516.6
BTC;USDT;1,52703E+12;8386.89;8400.18;7935.11;7977.11;23710.9
BTC;USDT;1,52712E+12;7977.12;8031.9;7425;7501.95;42910.7
BTC;USDT;1,52721E+12;7501.95;7730.73;7266.99;7575.01;37845.4
BTC;USDT;1,52729E+12;7578.99;7649.55;7308.15;7457;26740
BTC;USDT;1,52738E+12;7456.99;7620;7300;7333.96;19464.1
BTC;USDT;1,52747E+12;7334;7400;7231.11;7338.99;18706.9
BTC;USDT;1,52755E+12;7338.99;7437;7058.02;7099;27219.4
BTC;USDT;1,52764E+12;7099;7540;7032.95;7461.29;39407.2
BTC;USDT;1,52772E+12;7467.98;7569;7260.5;7375.96;32041.6
BTC;USDT;1,52781E+12;7382.07;7699;7327.51;7485.01;30776.1
BTC;USDT;1,5279E+12;7485.01;7608.55;7355.54;7521.01;28259.1
BTC;USDT;1,52798E+12;7521.01;7697.33;7437;7640.03;26720.7
BTC;USDT;1,52807E+12;7636.81;7786.69;7600;7714.26;27505.2
BTC;USDT;1,52816E+12;7714.26;7760.52;7446.5;7487;32258.8
BTC;USDT;1,52824E+12;7487;7679.49;7358;7625;31723
BTC;USDT;1,52833E+12;7626.64;7699;7467.05;7658.84;27230
BTC;USDT;1,52842E+12;7658.79;7765;7620;7691.08;25062.2
BTC;USDT;1,5285E+12;7691.08;7703.5;7531;7603.44;23396.8
BTC;USDT;1,52859E+12;7603.44;7683.98;7450;7491.73;19339.9
BTC;USDT;1,52868E+12;7491.73;7491.73;6622.81;6764.99;52342
BTC;USDT;1,52876E+12;6765;6922;6610;6872;34552.2
