Date;MarketCap;TradeVolume;ClosePrice
30/05/2014;7897760000;42271700;621.147
31/05/2014;8007250000;18656400;620.5
01/06/2014;8094130000;53565200;640.162
02/06/2014;8487590000;41153700;656.41
03/06/2014;8580310000;37419400;667.368
04/06/2014;8249180000;43722700;641.183
05/06/2014;8478550000;24809800;658.1
06/06/2014;8409350000;14032400;648.63
07/06/2014;8428210000;12954100;651.708
08/06/2014;8445490000;6819170;649.898
09/06/2014;8290260000;15165300;643.905
10/06/2014;8359490000;13698500;649.057
11/06/2014;8116780000;20706200;630.037
12/06/2014;7309310000;41032300;567.175
13/06/2014;7666330000;37950600;594.683
14/06/2014;7350660000;33752600;570.003
15/06/2014;7526350000;19377500;583.41
16/06/2014;7646620000;25803400;592.52
17/06/2014;7838350000;14064800;607.158
18/06/2014;7802400000;14955800;604.19
19/06/2014;7665350000;11266400;593.388
20/06/2014;7625130000;14900000;590.055
21/06/2014;7643410000;8305000;591.257
22/06/2014;7694630000;9952320;595.037
23/06/2014;7582630000;11249400;586.148
24/06/2014;7537050000;11613400;582.415
25/06/2014;7268690000;18237200;561.472
26/06/2014;7505650000;12733900;579.587
27/06/2014;7750010000;19906400;598.237
28/06/2014;7709210000;13624200;594.872
29/06/2014;7758490000;8878660;598.488
30/06/2014;8269630000;47016000;637.755
01/07/2014;8351850000;38496500;643.935
02/07/2014;8408210000;25992100;648.107
03/07/2014;8308930000;18539100;640.284
04/07/2014;8140820000;22418200;627.129
05/07/2014;8149050000;9292050;627.581
06/07/2014;8195700000;11187200;631.003
07/07/2014;8048560000;18525900;619.495
08/07/2014;8058080000;9269840;620.047
09/07/2014;8060030000;9329940;620.16
10/07/2014;7994630000;15009200;615.128
11/07/2014;8198770000;15836800;630.835
12/07/2014;8235220000;13267500;633.639
13/07/2014;8154940000;11435000;627.462
14/07/2014;8034630000;2646080000;618.205
15/07/2014;8044340000;10776400;618.953
16/07/2014;7981890000;13679100;614.148
17/07/2014;8095580000;14637400;622.895
18/07/2014;8173250000;14086500;627.019
19/07/2014;8165090000;7640660;626.176
20/07/2014;8093610000;4767570;620.514
21/07/2014;8088070000;8225440;619.909
22/07/2014;8078590000;7698580;619.006
23/07/2014;8066930000;9043050;617.943
24/07/2014;7832300000;24703400;599.809
25/07/2014;7837680000;20256800;600.096
26/07/2014;7758030000;11443500;593.775
27/07/2014;7715900000;9300140;590.379
28/07/2014;7651360000;23117900;585.279
29/07/2014;7607010000;11790400;581.714
30/07/2014;7335780000;18397900;560.791
31/07/2014;7630850000;23252100;583.182
01/08/2014;7773050000;22927200;593.866
02/08/2014;7701690000;9260580;588.231
03/08/2014;7669130000;9179430;585.573
04/08/2014;7681460000;11326000;586.369
05/08/2014;7631720000;13046800;582.419
06/08/2014;7645920000;12769900;583.325
07/08/2014;7699130000;11942700;587.203
08/08/2014;7749970000;12277600;590.907
09/08/2014;7716000000;7934880;588.108
10/08/2014;7723610000;8504720;588.5
11/08/2014;7528220000;16394400;573.406
12/08/2014;7451880000;15825300;567.402
13/08/2014;7142150000;36644700;543.667
14/08/2014;6619440000;46265600;503.709
15/08/2014;6470900000;31123400;492.284
16/08/2014;6851510000;27941400;521.046
17/08/2014;6508250000;28596100;494.781
18/08/2014;6051490000;60758500;459.886
19/08/2014;6373130000;45173300;484.155
20/08/2014;6770600000;55122100;514.186
21/08/2014;6791370000;47111100;515.605
22/08/2014;6796320000;34160000;515.826
23/08/2014;6544630000;23986300;496.569
24/08/2014;6698640000;18509800;508.114
25/08/2014;6598470000;15737800;500.386
26/08/2014;6735890000;21288900;510.639
27/08/2014;6735480000;21506000;510.446
28/08/2014;6691050000;18467200;506.915
29/08/2014;6708840000;16001700;508.096
30/08/2014;6624310000;10747400;501.53
31/08/2014;6342580000;43358400;480.026
01/09/2014;6288710000;19343800;475.82
02/09/2014;6275490000;21083400;474.694
03/09/2014;6277990000;14233700;474.726
04/09/2014;6475920000;23597500;489.547
05/09/2014;6354590000;14058800;480.242
06/09/2014;6384710000;9776900;482.359
07/09/2014;6363330000;7748650;480.603
08/09/2014;6239600000;27618100;471.125
09/09/2014;6249610000;20218600;471.754
10/09/2014;6322520000;20792300;477.114
11/09/2014;6314750000;14579200;476.378
12/09/2014;6280920000;13395900;473.688
13/09/2014;6313760000;14007700;476.001
14/09/2014;6299010000;11468700;474.795
15/09/2014;6278080000;12723500;473.031
16/09/2014;6141510000;16956800;462.592
17/09/2014;6037840000;23179400;454.624
18/09/2014;5627250000;48338300;423.565
19/09/2014;5226300000;47766800;393.263
20/09/2014;5430690000;47847900;408.503
21/09/2014;5274310000;32843800;396.62
22/09/2014;5298470000;24225300;398.311
23/09/2014;5771560000;57448200;433.751
24/09/2014;5602420000;32689400;420.92
25/09/2014;5431970000;30733500;407.978
26/09/2014;5365480000;23707500;402.88
27/09/2014;5301870000;16698700;398.008
28/09/2014;5009830000;29504700;375.989
29/09/2014;4972410000;37668400;373.089
30/09/2014;5164010000;34519000;387.351
01/10/2014;5079410000;26019400;380.895
02/10/2014;4959940000;19867300;371.841
03/10/2014;4752500000;29080100;356.19
04/10/2014;4376050000;44971200;327.881
05/10/2014;4340420000;81809700;325.11
06/10/2014;4390070000;75997600;328.73
07/10/2014;4431200000;43924700;331.724
08/10/2014;4721890000;50777400;353.39
09/10/2014;4790050000;80036600;358.395
10/10/2014;4780220000;42046100;357.555
11/10/2014;4807700000;32267000;359.515
12/10/2014;5005060000;30739100;374.168
13/10/2014;5178710000;55435700;387.039
14/10/2014;5330590000;71417100;398.289
15/10/2014;5250400000;49257700;392.19
16/10/2014;5080500000;48941800;379.391
17/10/2014;5093880000;38063600;380.293
18/10/2014;5213670000;43799600;389.116
19/10/2014;5185880000;32870200;386.945
20/10/2014;5090990000;32186400;379.77
21/10/2014;5127920000;33195500;382.414
22/10/2014;5089590000;22279100;379.443
23/10/2014;4779140000;48354300;356.2
24/10/2014;4755310000;32650700;354.318
25/10/2014;4658800000;35098500;347.03
26/10/2014;4702360000;27618300;350.189
27/10/2014;4723450000;26517300;351.564
29/10/2014;4477250000;43376100;333.147
30/10/2014;4620140000;59854800;343.668
31/10/2014;4526520000;30524300;336.588
01/11/2014;4358250000;38570000;323.976
02/11/2014;4359610000;28711400;323.985
03/11/2014;4361100000;40772300;323.995
04/11/2014;4416490000;35073800;328.008
05/11/2014;4546690000;44434900;337.593
06/11/2014;4685740000;43131100;347.818
07/11/2014;4639320000;30212800;344.178
09/11/2014;4900090000;51466000;363.424
10/11/2014;4939380000;45679800;366.15
12/11/2014;5648170000;234618000;418.578
13/11/2014;5597420000;338850000;414.708
14/11/2014;5336220000;263500000;395.245
15/11/2014;5095660000;99179400;377.327
16/11/2014;5236180000;95731300;387.623
17/11/2014;5200790000;152824000;384.9
18/11/2014;5066660000;109441000;374.868
19/11/2014;5093940000;84367900;376.788
20/11/2014;4805830000;93722500;355.389
21/11/2014;4756420000;68856400;351.55
23/11/2014;4963790000;71063900;366.782
24/11/2014;5113530000;116849000;377.742
25/11/2014;5081000000;115570000;375.248
26/11/2014;4953850000;92282200;365.766
27/11/2014;4991430000;70974000;368.448
28/11/2014;5108070000;91254200;376.951
29/11/2014;5082660000;100953000;374.965
30/11/2014;5104550000;74926900;376.472
01/12/2014;5146700000;64120800;379.489
02/12/2014;5076170000;74772900;374.103
04/12/2014;4997780000;62639500;368.228
05/12/2014;5074370000;48428900;373.671
07/12/2014;5086110000;38514400;374.448
08/12/2014;4910800000;66593700;361.433
09/12/2014;4769270000;88924900;350.928
10/12/2014;4716900000;59697000;346.98
11/12/2014;4717170000;118503000;346.909
12/12/2014;4780800000;50698200;351.502
13/12/2014;4727530000;38735000;347.484
14/12/2014;4764710000;44354100;350.133
15/12/2014;4690950000;30644200;344.615
16/12/2014;4342050000;76239500;318.828
18/12/2014;4219670000;90976200;309.765
19/12/2014;4326570000;60607700;317.54
20/12/2014;4480150000;64328500;328.774
21/12/2014;4353790000;58024800;319.501
22/12/2014;4498280000;51126900;329.886
23/12/2014;4555330000;58571800;333.97
24/12/2014;4395930000;37974800;322.194
25/12/2014;4342230000;75362800;318.166
26/12/2014;4473840000;93256500;327.717
27/12/2014;4322770000;67051600;316.491
29/12/2014;4271650000;99471200;312.633
30/12/2014;4338940000;71036100;317.379
31/12/2014;0;0;0
01/01/2015;4293960000;46999400;313.992
02/01/2015;4301450000;38855900;314.446
03/01/2015;3921360000;118779000;286.572
04/01/2015;3571640000;205500000;260.936
05/01/2015;3740880000;155038000;273.22
06/01/2015;3908410000;97002900;285.374
07/01/2015;4053240000;110674000;295.872
08/01/2015;3897820000;86570500;284.453
09/01/2015;3968990000;83478400;289.574
10/01/2015;3664200000;73256700;267.184
12/01/2015;3681150000;78982200;268.354
13/01/2015;3038250000;215752000;221.436
14/01/2015;2362640000;236007000;172.148
15/01/2015;2890520000;257638000;210.556
16/01/2015;2826190000;176217000;205.816
17/01/2015;2740020000;106431000;199.491
18/01/2015;2871290000;118664000;208.989
19/01/2015;2948380000;105545000;214.545
20/01/2015;2893630000;94312100;210.514
21/01/2015;3191200000;151230000;232.042
23/01/2015;3203690000;126038000;232.898
24/01/2015;3493320000;142427000;253.839
26/01/2015;3734340000;401756000;271.288
27/01/2015;3568730000;339952000;259.236
29/01/2015;3203610000;161972000;232.533
30/01/2015;3150700000;105833000;228.635
31/01/2015;3005340000;92459200;218.023
01/02/2015;3119900000;100844000;226.27
02/02/2015;3310470000;108044000;240.019
03/02/2015;3118000000;135790000;226.012
04/02/2015;2994170000;74142200;216.914
06/02/2015;3072080000;88164900;222.487
07/02/2015;3138150000;80694200;227.205
08/02/2015;3079500000;76979200;222.906
09/02/2015;3041550000;79154600;220.092
10/02/2015;3050000000;66709000;220.649
11/02/2015;3029420000;65150900;219.096
12/02/2015;3070810000;51632500;222.04
13/02/2015;3260250000;137046000;235.677
14/02/2015;3584040000;165435000;259.009
15/02/2015;3266300000;128976000;235.92
17/02/2015;3357730000;121469000;242.457
18/02/2015;3329830000;71396100;240.299
20/02/2015;3383190000;80482200;244.082
21/02/2015;3384950000;64143300;244.146
22/02/2015;3266700000;74180500;235.553
23/02/2015;3303310000;61755700;238.132
24/02/2015;3312400000;58732100;238.731
25/02/2015;3294580000;57584600;237.378
26/02/2015;3278690000;44991000;236.171
27/02/2015;3525780000;137186000;253.899
28/02/2015;3522500000;85884400;253.599
01/03/2015;3751800000;93658300;269.961
03/03/2015;3901080000;128755000;280.624
04/03/2015;3796350000;119554000;273.019
05/03/2015;3822330000;98543000;274.826
06/03/2015;3788780000;74704500;272.341
07/03/2015;3834880000;50059700;275.585
08/03/2015;3821050000;45050600;274.578
09/03/2015;4027810000;111062000;289.296
10/03/2015;4043020000;129285000;290.306
11/03/2015;4122120000;73794300;295.961
12/03/2015;4014520000;67739300;288.036
14/03/2015;3924200000;63244200;281.489
15/03/2015;4046190000;60818300;290.095
17/03/2015;3967000000;50540100;284.349
18/03/2015;3566980000;123649000;255.606
19/03/2015;3629240000;133194000;260.004
20/03/2015;3642720000;59404500;260.908
21/03/2015;3623910000;54148200;259.49
22/03/2015;3740910000;51503300;267.798
23/03/2015;3717120000;73040600;266.027
24/03/2015;3426730000;153991000;245.168
25/03/2015;3443110000;175876000;246.271
26/03/2015;3457360000;90325900;247.148
28/03/2015;3526140000;82125800;252.05
29/03/2015;3384340000;84472900;241.914
30/03/2015;3449080000;96641700;246.542
31/03/2015;3403300000;76545500;243.269
01/04/2015;3456620000;78230800;246.775
02/04/2015;3535620000;95206100;252.341
03/04/2015;3554520000;94243300;253.623
04/04/2015;3551250000;63959100;253.321
05/04/2015;3641800000;82969300;259.712
06/04/2015;3582470000;83832500;255.423
07/04/2015;3551880000;88508000;253.208
08/04/2015;3427770000;106549000;244.271
09/04/2015;3413570000;93749400;243.201
10/04/2015;3292520000;110711000;234.525
11/04/2015;3319540000;87635000;236.45
12/04/2015;3309550000;62271700;235.739
13/04/2015;3146530000;87796700;223.946
14/04/2015;3063790000;109539000;217.999
15/04/2015;3134970000;71588900;223.016
16/04/2015;3205780000;88471200;227.999
17/04/2015;3127990000;101387000;222.417
18/04/2015;3136370000;70165400;222.954
19/04/2015;3133240000;58633100;222.681
20/04/2015;3157120000;63561400;224.309
21/04/2015;3304070000;80763800;234.687
22/04/2015;3292210000;72515600;233.781
23/04/2015;3312570000;55130000;235.173
24/04/2015;3254290000;73282600;230.986
25/04/2015;3184370000;58830400;225.957
26/04/2015;3080180000;97000000;218.507
27/04/2015;3222810000;95409400;228.571
28/04/2015;3182410000;71644000;225.642
29/04/2015;3188140000;56781700;225.998
30/04/2015;3333120000;103786000;236.221
01/05/2015;3284900000;74708300;232.74
02/05/2015;3319850000;61431400;235.156
03/05/2015;3387420000;86630800;239.882
04/05/2015;3375290000;84138500;238.971
05/05/2015;3334250000;71871900;236.001
06/05/2015;3246890000;70623200;229.815
07/05/2015;3346210000;74887900;236.845
08/05/2015;3442450000;79882300;243.657
09/05/2015;3412430000;79529100;241.532
10/05/2015;3384490000;67810600;239.555
11/05/2015;3416930000;70787400;241.851
12/05/2015;3412240000;60882900;241.519
13/05/2015;3326910000;50100800;235.479
14/05/2015;3344210000;56975100;236.704
15/05/2015;3348270000;39256100;236.991
16/05/2015;3333960000;26856200;235.978
17/05/2015;3335460000;24401600;236.085
18/05/2015;3284470000;33772800;232.476
19/05/2015;3276970000;31085000;231.945
20/05/2015;3306690000;28778000;234.048
21/05/2015;3326080000;27373200;235.421
22/05/2015;3419030000;54518500;240.935
23/05/2015;3392690000;47757600;239.033
24/05/2015;3424930000;29761700;241.242
25/05/2015;3371790000;30834600;237.441
26/05/2015;3373430000;30269000;237.497
27/05/2015;3370470000;30728800;237.23
28/05/2015;3374930000;26801100;237.489
29/05/2015;3369940000;31108400;237.071
30/05/2015;3319340000;31403700;233.457
31/05/2015;3266430000;23354000;229.678
01/06/2015;3176730000;43602300;223.318
02/06/2015;3212020000;32062200;225.739
03/06/2015;3208480000;30472200;225.483
04/06/2015;3189860000;29003100;224.175
05/06/2015;3197920000;32252700;224.741
06/06/2015;3205710000;18238400;225.289
07/06/2015;3181910000;24133800;223.616
08/06/2015;3254270000;40449900;228.701
09/06/2015;3266010000;36746900;229.526
10/06/2015;3258550000;29194000;229.002
11/06/2015;3271820000;28833200;229.934
12/06/2015;3280120000;29722300;230.518
13/06/2015;3310180000;29012300;232.63
14/06/2015;3324950000;35303200;233.668
15/06/2015;3375220000;46839300;237.201
16/06/2015;3564090000;96364200;250.474
17/06/2015;3524530000;100630000;247.694
18/06/2015;3536730000;67360500;248.552
19/06/2015;3457680000;60767700;242.997
20/06/2015;3492960000;55692700;245.475
21/06/2015;3488840000;26531900;243.996
22/06/2015;3536680000;41166800;247.279
23/06/2015;3488500000;37387500;243.849
24/06/2015;3442040000;39616300;240.538
25/06/2015;3470730000;34244100;242.477
26/06/2015;3471730000;34005700;242.482
27/06/2015;3589070000;49080100;250.621
28/06/2015;3557370000;40522500;248.345
29/06/2015;3672260000;73197800;256.304
30/06/2015;3760650000;99893200;262.406
01/07/2015;3691290000;68105000;257.506
02/07/2015;3651410000;52711200;254.654
03/07/2015;3659680000;42339300;255.161
04/07/2015;3736020000;42933000;260.415
05/07/2015;3889430000;96140000;271.04
06/07/2015;3855530000;111885000;268.595
07/07/2015;3810380000;64748900;265.384
08/07/2015;3871970000;79366300;269.613
09/07/2015;3862500000;75940600;268.893
10/07/2015;4095520000;113800000;285.022
11/07/2015;4195300000;114394000;291.891
12/07/2015;4459350000;115546000;310.192
13/07/2015;4179710000;130059000;290.665
14/07/2015;4122380000;74446000;286.665
15/07/2015;4084700000;52932200;283.949
16/07/2015;3981560000;97423600;276.68
17/07/2015;4007010000;60573500;278.373
18/07/2015;3951120000;52505400;274.484
19/07/2015;3926970000;26896000;272.806
20/07/2015;3993820000;40729500;277.245
21/07/2015;3961650000;43239100;274.943
22/07/2015;3980470000;43240700;276.176
23/07/2015;3973300000;34164600;275.613
24/07/2015;4158910000;79396100;288.445
25/07/2015;4158100000;54860000;288.388
26/07/2015;4205900000;40248400;291.704
27/07/2015;4219040000;63540200;292.615
28/07/2015;4238910000;63623600;293.993
29/07/2015;4162870000;52624700;288.72
30/07/2015;4135720000;43880100;286.837
31/07/2015;4090160000;63971600;283.676
01/08/2015;4047270000;53533700;280.701
02/08/2015;4062050000;46165500;281.727
03/08/2015;4063540000;41411600;281.83
04/08/2015;4098280000;48308800;284.239
05/08/2015;4057350000;43424300;281.401
06/08/2015;4008510000;41914100;278.013
07/08/2015;4015650000;47637500;278.509
08/08/2015;3745910000;80056200;259.801
09/08/2015;3811340000;67863200;264.338
10/08/2015;3817350000;60783300;263.578
11/08/2015;3909600000;64124900;269.867
12/08/2015;3879200000;73043600;267.713
13/08/2015;3821420000;57163400;263.656
14/08/2015;3843670000;61280600;265.128
15/08/2015;3777140000;38132000;260.476
16/08/2015;3739450000;55868000;257.816
17/08/2015;3729480000;51730300;257.063
18/08/2015;3672270000;49833100;253.077
19/08/2015;3279920000;143390000;225.96
20/08/2015;3406740000;99655600;234.638
21/08/2015;3374230000;62180200;232.332
22/08/2015;3328900000;102330000;229.149
23/08/2015;3302030000;72465800;227.245
24/08/2015;3053600000;139379000;210.094
25/08/2015;3217670000;183422000;221.328
26/08/2015;3275820000;144278000;225.267
27/08/2015;3243160000;69900300;222.97
28/08/2015;3370430000;95134700;231.658
29/08/2015;3324950000;56654300;228.468
30/08/2015;3319970000;54615300;228.067
31/08/2015;3350140000;58032900;230.078
01/09/2015;3308580000;61479300;227.163
02/09/2015;3331060000;47781600;228.643
03/09/2015;3301580000;43765300;226.566
04/09/2015;3353300000;55274500;230.051
05/09/2015;3422640000;58712600;234.749
06/09/2015;3487340000;70113400;239.129
07/09/2015;3508280000;50336400;240.503
08/09/2015;3553700000;67754800;243.559
09/09/2015;3472700000;55993000;237.945
10/09/2015;3485800000;48531100;238.776
11/09/2015;3504650000;44294600;240.001
12/09/2015;3431130000;40541200;234.91
13/09/2015;3367620000;46253500;230.505
14/09/2015;3364180000;52117300;230.21
15/09/2015;3360760000;58562900;229.912
16/09/2015;3340450000;51089500;228.464
17/09/2015;3403180000;54594100;232.746
18/09/2015;3399000000;79606400;232.354
19/09/2015;3383900000;39022100;231.273
20/09/2015;3375670000;36477200;230.66
21/09/2015;3314850000;36795300;226.453
22/09/2015;3365880000;71786000;229.883
23/09/2015;3366610000;53526700;229.866
24/09/2015;3426860000;124126000;233.926
25/09/2015;3443250000;115436000;234.977
26/09/2015;3437530000;93607400;234.528
27/09/2015;3413580000;75776500;232.835
28/09/2015;3508850000;245684000;239.277
29/09/2015;3479850000;115160000;237.226
30/09/2015;3463400000;76056300;236.046
01/10/2015;3489090000;72357000;237.736
02/10/2015;3482920000;84448800;237.259
03/10/2015;3508910000;73353000;238.972
04/10/2015;3505200000;78899600;238.657
05/10/2015;3530600000;107434000;240.324
06/10/2015;3621400000;135777000;246.444
07/10/2015;3574400000;121587000;243.223
08/10/2015;3569660000;97564200;242.901
09/10/2015;3588830000;109154000;244.205
10/10/2015;3607760000;89165100;245.321
11/10/2015;3640380000;79268200;247.539
12/10/2015;3611360000;108125000;245.566
13/10/2015;3667820000;164456000;249.405
14/10/2015;3720290000;321865000;252.696
15/10/2015;3749950000;207297000;254.63
16/10/2015;3864940000;332398000;262.374
17/10/2015;3983560000;271593000;270.365
18/10/2015;3864770000;116712000;262.234
19/10/2015;3894960000;224716000;264.209
20/10/2015;3985080000;319017000;270.266
21/10/2015;3938180000;201631000;267.019
22/10/2015;4035870000;229035000;273.573
23/10/2015;4093190000;130573000;277.388
24/10/2015;4176380000;168029000;282.957
25/10/2015;4203960000;336860000;284.749
26/10/2015;4354730000;329398000;294.809
28/10/2015;4486180000;387210000;303.637
29/10/2015;4639130000;543164000;313.907
30/10/2015;4816270000;843341000;325.801
31/10/2015;4617510000;321998000;312.278
01/11/2015;4806800000;582434000;324.997
02/11/2015;5189220000;636690000;350.768
03/11/2015;5893150000;987284000;398.237
04/11/2015;5985310000;984425000;404.359
05/11/2015;5736790000;913505000;387.473
06/11/2015;5733490000;462742000;387.06
08/11/2015;5504400000;264157000;371.502
09/11/2015;5641280000;420137000;380.644
10/11/2015;4993780000;620473000;336.873
11/11/2015;4537160000;572707000;305.983
12/11/2015;5012580000;546923000;337.955
13/11/2015;5005280000;414918000;337.372
14/11/2015;4919390000;131135000;331.501
15/11/2015;4757160000;237800000;320.484
16/11/2015;4919470000;239443000;331.353
17/11/2015;4983270000;185982000;335.447
19/11/2015;4837530000;206392000;325.568
20/11/2015;4834320000;199950000;325.159
22/11/2015;4809450000;167053000;323.395
23/11/2015;4802400000;188739000;322.829
24/11/2015;4761180000;103800000;319.979
25/11/2015;4884310000;714595000;328.169
26/11/2015;5303720000;1237550000;356.245
27/11/2015;5346020000;895711000;359.011
28/11/2015;5305800000;667783000;356.212
29/11/2015;5534690000;921928000;371.488
30/11/2015;5637220000;1299030000;378.265
01/12/2015;5350370000;1153670000;358.82
03/12/2015;5383470000;1149810000;360.954
04/12/2015;5411890000;1039910000;362.767
05/12/2015;5829510000;1426330000;390.645
06/12/2015;5881280000;1512630000;394.011
07/12/2015;5887870000;1282260000;394.355
